"SiteID","seeds.m2","deliv.freq","seeds.m2.pico","deliv.freq.pico","farthest.seed","farthest.pico","sqrt.seeds.m2","sqrt.seeds.m2.pico","Species","n","Mean.Height.m","Mean.stemarea.m2ha","mean.nonser.cones.ha","Positioning","Slope","Aspect","n.pico","Mean.Height.m.pico","Mean.stemarea.m2ha.pico","mean.nonser.cones.ha.pico","20m.tree.dist","50m.tree.dist","100m.tree.dist","Volume","angle","mean.slope.10","max.slope.10","mean.slope.30","max.slope.30","mean.slope.90","max.slope.90","mean.TRI.10","max.TRI.10","mean.TRI.30","max.TRI.30","mean.TRI.90","max.TRI.90","mean.TPI.10","max.TPI.10","mean.TPI.30","max.TPI.30","mean.TPI.90","max.TPI.90","mean.roughness.10","max.roughness.10","mean.roughness.30","max.roughness.30","mean.roughness.90","max.roughness.90","mean.slope.10ev10","min.slope.10ev10","max.slope.10ev10","mean.slope.30ev10","min.slope.30ev10","max.slope.30ev10","mean.TRI.10ev10","min.TRI.10ev10","max.TRI.10ev10","mean.TRI.30ev10","min.TRI.30ev10","max.TRI.30ev10","mean.roughness.10ev10","min.roughness.10ev10","max.roughness.10ev10","mean.roughness.30ev10","min.roughness.30ev10","max.roughness.30ev10","mean.disp.dist.pico","se.disp.dist.pico","med.disp.dist.pico","mean.disp.dist.all","se.disp.dist.all","med.disp.dist.all"
"T1",0.826719576719577,1,0.826719576719577,1,50,50,0.909241209316635,0.909241209316635,"All",25,6.988,32.0590075,74280,"Upslope",9.7,190,23,7.16086956521739,31.1237146565218,73993.0434782609,"42.9",54.2,38,-6.12434815138578,9.33020662842652,12.6694869878521,15.8822948134841,13.2015657027893,16.6323542145823,15.4481023898006,17.8971543795975,1.75544982910156,2.24528991699219,5.53492011176215,6.92434163411457,19.2316228306146,22.3916357045115,-0.0941561889646891,0.157796630859593,-1.37868865966789,-0.716544257270016,-5.45826001956175,-5.0154535740985,5.59610717773444,7.44281005859375,18.792723795573,24.5797111002603,68.1088355245706,80.9630995008679,11.2788836127297,8.67778494017863,15.8822948134841,12.0855835889104,9.77077719099634,16.6323542145823,1.55956287730823,1.2410641479492,2.24528991699219,5.0420860799154,4.14549858940973,6.92434163411457,5.23822265624995,3.62531005859364,7.44281005859375,17.5280975526754,13.0057364908857,24.5797111002603,25,13.228756555323,20,25,13.228756555323,20
"T10",0,0,0,0,0,0,0,0,"All",25,11,29.610176835,42336,"Downslope",-7,280,25,11,29.610176835,42336,"160.4",98.7,116.5,-2.9993631529808,-2.2160671161855,9.39671588112006,9.86600715038431,11.7734874048839,16.22840202803,15.1976887661024,20.518855913152,1.26977996826173,1.30713806152352,5.00065305356623,7.22101854112412,19.2690826227635,26.7903236935463,0.103994852701968,0.189297485351744,1.39660077130338,4.61900458441824,2.7278972245831,5.48806634220091,4.4945996093749,4.71870117187518,17.618868995949,24.2495605468753,61.3997726176697,76.8959045862266,9.14368140052692,8.03285638950005,9.86600715038431,10.7108498678178,9.36212131002347,16.22840202803,1.21804737437855,1.07791259765628,1.33435974121096,4.47537217881942,3.81474500868057,7.22101854112412,4.48433593749996,3.94179687499991,4.9082934570315,16.2758204604639,14.2847159830726,24.2495605468753,NA,NA,NA,NA,NA,NA
"T11",0,0,0,0,0,0,0,0,"All",25,11.228,38.219853414,32806.464,"Upslope",8.2,0,25,11.228,38.219853414,32806.464,"594",372,509,1.2930458214879,5.47252172137629,15.7544144323607,17.4937297046647,15.3855984660799,16.1515589167919,17.7525071358395,19.3036350849794,2.22683054606121,2.49130187988283,6.54368664776837,6.83834767659505,22.8929927106944,24.8143600614572,-0.0580142211911152,0.128520507812937,-0.146209275987227,1.20543568929043,-1.58509034584555,1.28607910909795,7.5499666341146,8.09780029296871,20.7387301974827,22.2891430664063,68.5492722198111,74.3612100332757,16.0317223561136,14.7304762348025,17.4937297046647,15.7778991366541,14.0381705536287,16.1515589167919,2.262765863592,2.0613488769531,2.49130187988283,6.70164921616061,6.01867502848307,6.87184841579858,7.52148903586658,7.10679443359368,8.09780029296871,21.8510028261127,17.966185438368,23.1484301757814,NA,NA,NA,NA,NA,NA
"T12",0.826719576719577,1,0.826719576719577,1,20,20,0.909241209316635,0.909241209316635,"All",25,21.768,57.7033578765,118191.6,"Downslope",-7.7,320,23,22.2869565217391,52.1030341,112107.826086957,"83.3",198,206,1.65937111616135,2.165899922754,7.65064042158086,8.35754715647871,8.37979741884224,9.48564548695931,7.3464882654801,7.3464882654801,1.02670064290368,1.1278015136719,3.66770195855037,4.31019432915588,17.8553671603733,17.8553671603733,-0.128709716796948,-0.0266323852542882,-1.06304517957885,-0.656532762315237,-14.7999058852961,-14.7999058852961,3.74993326822929,3.85770019531265,11.863492476852,13.0098988172745,48.6476783130788,48.6476783130788,7.61955601339543,7.07778932571639,8.35754715647871,8.40012105603199,7.49750935981238,9.48564548695931,1.03164883700284,0.943802490234418,1.16686035156243,3.67596622351446,3.11611650254986,4.31019432915588,3.72016490589489,3.38700195312504,4.13520751953092,11.8870453312422,10.9761675347222,13.0098988172745,12.5,7.5,12.5,12.5,7.5,12.5
"T2",3.16310098918795,1,1.72532781228433,1,100,100,1.77851089093881,1.31351734373183,"All",25,21.252,39.528438956,49884.672,"Upslope",5.8,200,25,21.252,39.528438956,49884.672,"36.6",56.6,26.9,15.5099088478088,1.55154076666449,18.6330654236831,29.2805217650185,18.0122692119204,27.5598941500818,16.2413509179148,21.074765969699,2.66973937988286,4.34774566650395,7.9074338559751,11.9404916381836,21.371178145546,26.8346257829078,0.00781636555984733,0.256059875488063,1.20201153790504,4.00561472574918,5.16610511183262,7.96704814769646,9.27121337890624,14.9952539062501,26.8143989619501,40.836009385851,76.4212569223412,79.7724730239679,18.1041675807931,11.138922816653,29.2805217650185,16.1513030412919,9.75541098526966,27.5598941500818,2.56705419367012,1.47969848632812,4.34774566650395,7.15443482678345,3.98975965711804,11.9404916381836,8.82234841086645,5.47859130859342,14.9952539062501,23.9669005237923,13.7005864800344,40.836009385851,50,22.4536559755125,47.5,47,17.6493625947228,35
"T3",0.696184906711223,1,0.696184906711223,1,20,20,0.834376957202932,0.834376957202932,"All",25,18.78,26.6216773095,24916.752,"Upslope",12,180,25,18.78,26.6216773095,24916.752,NA,NA,NA,34.467694504261,2.1968836041201,14.5722730557664,17.9159256015878,13.1155662364438,14.291811413505,14.006467882594,15.8166054482342,2.04154571533201,2.52757354736326,5.86543090820318,6.17788957383902,18.5869846460162,20.4451535109532,0.137818908691467,0.31280609130863,2.19285011574099,3.20220916748076,10.3997055807229,12.9686608547631,6.91770182291672,8.52928955078141,19.8451714409721,22.1587255859372,67.436419803321,73.0272611038772,13.6348597339695,10.8425345951295,17.9159256015878,13.008634856711,11.4484859433223,14.291811413505,1.93008497758346,1.54017913818365,2.52757354736326,5.83702557496356,5.57283715142148,6.17788957383902,6.30265514026984,4.71360107421879,8.52928955078141,19.6348483368843,17.6450911458332,22.1587255859372,12.5,7.5,12.5,12.5,7.5,12.5
"T4",1.37786596119929,1,1.37786596119929,1,50,50,1.1738253537896,1.1738253537896,"All",25,15.604,18.871028198,27681.28,"Upslope",21.1,210,24,16.0625,19.5950015333333,28485.4861111111,"115",244,230,12.7868971243501,-1.78898360049677,18.0523763017905,21.599950544613,16.5825808361745,19.3481015952497,14.2731513248255,15.7147928462102,2.46585866292319,3.038812866211,7.16812207257309,7.9350995890299,19.6247869584197,23.1259218154719,0.246966044108073,0.657979125976453,1.5917668434425,2.59326283772771,4.99623749783996,11.1925476488659,8.97313069661444,10.7246923828125,24.1766602466725,28.0729302300347,64.8076843311953,73.3639593581211,15.9026157259324,12.0859634381973,21.599950544613,15.0094694832115,12.0418416778034,19.3481015952497,2.17785808216442,1.87502136230472,3.038812866211,6.65446384314337,6.32831610785587,7.9350995890299,8.10300514914769,6.59428955078147,10.7246923828125,22.7817850132182,19.4815763346355,28.0729302300347,30,13.228756555323,35,30,13.228756555323,35
"T5",1.04427736006683,1,1.04427736006683,1,50,50,1.02189889914161,1.02189889914161,"All",25,17.532,43.556671312,108816.4,"Upslope",21,240,23,18,44.3025974038043,103753.913043478,"108.4",106.2,112.2,17.8482515561581,-1.37950804411558,20.8298877095537,25.5687394043437,20.0184152264098,24.9726219753586,17.1842708002749,19.1940497480947,3.04297688802084,3.7477627563477,9.27091354935266,11.0646548800999,24.6154572136019,27.4388514765986,0.268493448893272,0.978597412109593,0.802930964717234,4.52359544542105,0.573205287603287,7.17202168405765,9.25349934895818,11.729504394531,27.4016616030094,30.4025545247396,76.6595710157858,83.8581417281539,20.184887973549,12.9257920972678,25.5687394043437,19.0830783711835,14.0515860667786,24.9726219753586,2.91794871937145,1.82131286621097,3.7477627563477,8.67391682634458,7.70356981065544,11.0646548800999,8.85714932528402,5.87789550781235,11.729504394531,27.0419178355826,23.214027777778,30.4025545247396,27.5,22.5,27.5,27.5,22.5,27.5
"T6",2.20458553791887,1,1.92901234567901,1,100,100,1.48478467729125,1.38888888888889,"All",25,22.236,43.360440656,69842.432,"Upslope",10.6,220,24,22.6375,44.5780944333334,71464.1666666669,"174",103.5,241,12.5589807128906,-14.4339416237687,21.1043119523229,23.0515791038259,19.4819362751703,22.3360934294233,13.779529950612,15.1297944224273,3.00980428059891,3.26528594970688,8.18317923086666,9.55644931369369,19.5048125040188,21.8711198707863,0.200395711263051,0.412823791503797,1.00399807400193,2.21947116427964,6.44285953976987,10.9340131707841,9.54556722005191,10.789299316406,26.2080315936053,31.9859828016492,59.5154165762442,67.5421982904127,21.642085833446,18.8177073178113,24.2469003040059,20.4683763641388,15.1800442653793,22.3360934294233,3.08816705877127,2.70029113769533,3.52836212158201,8.72386326028846,6.28178934733074,9.55644931369369,10.123741787997,8.894807128906,11.4110961914062,29.1565459526909,19.7439870876738,31.9859828016492,51.6666666666667,27.4367960552572,50,51.6666666666667,27.4367960552572,50
"T7",2.70562770562771,1,2.70562770562771,1,50,50,1.64487923739942,1.64487923739942,"All",25,22.24,55.683188028,140800.4,"Downslope",-1.4,220,25,22.24,55.683188028,140800.4,"141.4",133.1,133.2,1.1533797737956,-6.90774855866445,13.4332442236166,19.4565602843383,14.5843085015193,20.2595924818765,13.2144810392782,16.8653270901096,1.85611022949217,2.73858612060548,6.08247174298323,8.42964352077905,16.4549457176429,20.4145262805327,0.0902311197916485,0.309465637207268,0.0158200412326247,0.457376403808667,-1.44681313220356,-1.18799110318423,5.69012695312479,7.86519042968712,19.3895024052373,24.1556328667534,61.1857645017523,66.1190505943769,12.7601796521254,9.18190635987116,19.4565602843383,13.8137470383293,10.5192999507625,20.2595924818765,1.76025215842505,1.28353454589842,2.73858612060548,5.76629219132241,4.38802893744577,8.42964352077905,5.41937588778406,3.68449462890612,7.86519042968712,18.7477127722538,13.5202918836808,24.1556328667534,25,13.228756555323,20,25,13.228756555323,20
"T8",0.551146384479718,1,0.551146384479718,1,20,20,0.742392338645623,0.742392338645623,"All",25,20.668,40.053094588,82570.752,"Downslope",-1.5,41,25,20.668,40.053094588,82570.752,"60.2",NA,NA,-1.046162109375,8.32824478559662,3.618769096697,4.00119753652294,3.45562915296394,3.62539410067849,4.54064614404442,6.61142036633167,0.515316569010414,0.550175170898399,1.53122427481194,1.7053595648872,5.95783813099799,8.60207819809153,-0.0950567626952458,0.0128930664063773,-0.342851404260728,0.147374267578471,2.2131772428285,6.49474277449235,1.73569498697907,1.94139160156237,5.0713953993054,5.71465440538168,20.6761422566228,32.8016370081018,3.66072469279783,3.23669608329942,4.19458507271488,3.48449565217618,3.25335913021829,3.74065556926748,0.514762573242189,0.457303161621098,0.57705108642574,1.51916514695295,1.39080227322052,1.7053595648872,1.68727183948861,1.51970947265636,1.94139160156237,5.0126240431659,4.59579806857619,5.71465440538168,12.5,7.5,12.5,12.5,7.5,12.5
"T9",0,0,0,0,0,0,0,0,"All",25,10.9008,43.268520366,54494.208,"Downslope",-11.1,270,25,10.9008,43.268520366,54494.208,"beyond rangefinder",560,127.2,42.7526674318314,-7.12648486208766,14.7083923812908,22.3253050395811,15.2339936955361,23.3299660554383,16.655302544492,17.7823865348865,2.18337117513018,3.63729949951164,6.43603005868418,10.213117167155,20.5593808460628,21.7950159934715,-0.646884969075472,0.0959039306640079,0.245480471010524,1.08091562906884,4.45391604199813,7.86254525267032,6.19137125651029,9.98149169921862,18.469471480758,29.770222439236,63.5852750751513,67.7934135681908,13.1820318323726,10.7889207970132,22.3253050395811,13.156181069347,10.7697614192777,23.3299660554383,1.87981231689452,1.42747528076171,3.63729949951164,5.43109948052302,4.33729295518668,10.213117167155,5.42042569247153,4.05590087890641,9.98149169921862,15.5375030332624,12.2514092339411,29.770222439236,NA,NA,NA,NA,NA,NA
